operator,segment,is_ems,fleet_size,phone,email,website,has_contact,city,state,zip,street,top_models,sample_tail_numbers
GEISINGER MEDICAL CENTER,private,yes,8,,,,no,DANVILLE,PA,178229800,100 N ACADEMY AVE,"EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2, AIRBUS HELICOPTERS DEUTSCHLAND EC135T3, AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 C-2",N479LF N480LF N481LF N482LF N483LF
VANDERBILT UNIVERSITY MEDICAL CENTER,private,yes,7,,,,no,NASHVILLE,TN,372320004,1211 MEDICAL CENTER DR,"EUROCOPTER DEUTSCHLAND GMBH EC 135 T2+, AIRBUS HELICOPTERS DEUTSCHLAND EC135T3, AIRBUS HELICOPTERS DEUTSCHLAND EC135 P3",N159AH N209MA N317VU N635W N788VU
NORTH MEMORIAL HEALTH CARE,private,yes,7,,,,no,BROOKLYN CENTER,MN,554291712,4501 68TH AVE N,"AGUSTA SPA A109S, AIRBUS HELICOPTERS DEUTSCHLAND EC135T3, LEONARDO S P A A109S",N35NM N423NM N42NM N523NM N71NM
FLAGSTAFF MEDICAL CENTER INC,private,yes,7,,,,no,FLAGSTAFF,AZ,860021905,PO BOX 1905,"BELL HELICOPTER TEXTRON CANADA 407, BELL 407",N407NA N407VV N408GA N409GA N420GA
NEW ENGLAND LIFE FLIGHT INC DBA,private,yes,6,,,,no,BEDFORD,MA,017302630,150 HANSCOM DR,"AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK117 D-3, AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 D-2, AIRBUS HELICOPTERS INC MBB-BK117 D-3",N141NE N142NE N143NE N145NE N246NE
PHI HEALTH LLC,private,yes,6,,,,no,LAFAYETTE,LA,705082156,2001 SE EVANGELINE TRWY,"BELL 407, EUROCOPTER DEUTSCHLAND GMBH EC 135 P2, EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+",N317PH N326PH N354P N409PH N450PH
PITT COUNTY MEMORIAL HOSPITAL INC,private,yes,6,,,,no,GREENVILLE,NC,278342818,2100 STANTONSBURG RD,"AIRBUS HELICOPTERS INC MBB-BK 117 C-2, EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2, AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 C-2",N485EC N523EC N624EC N854EC N925EC
MERCY HOSPITAL SPRINGFIELD,private,yes,5,,,,no,SPRINGFIELD,MO,658042203,1235 E CHEROKEE ST,EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+,N135LL N235LL N335ML N435LL N535LL
MERCY FLIGHT CENTRAL HOLDING LLC,private,yes,5,,,,no,CANANDAIGUA,NY,144247968,2420 BRICKYARD RD,"AGUSTAWESTLAND PHILADELPHIA CO AW119MKII, MESSERSCHMITT-BOLKOW-BLOHM BK 117 B-2",N196LL N319MC N651MC N712MC N810MC
LIFEFLIGHT OF MAINE LLC,private,yes,5,,,,no,BANGOR,ME,044020940,PO BOX 940,"LEONARDO SPA AW109SP, AGUSTA SPA A109E",N901CM N901EM N901LF N901XM N901YM
MERCY FLIGHT INC,private,yes,4,,,,no,BUFFALO,NY,142251432,100 AMHERST VILLA RD,"BELL TEXTRON CANADA LTD 429, BELL HELICOPTER TEXTRON CANADA 429",N505TJ N506TJ N508TJ N509TJ
ARKANSAS CHILDRENS HOSPITAL,private,yes,3,,,,no,LITTLE ROCK,AR,722023500,1 CHILDRENS WAY,SIKORSKY AIRCRAFT CORP S-76D,N115MQ N760AF N761AF
MH HOSPITAL MANAGER LLC,private,yes,3,,,,no,ASHEVILLE,NC,288014601,509 BILTMORE AVE,"EUROCOPTER DEUTSCHLAND GMBH EC 135 T2+, EUROCOPTER DEUTSCHLAND GMBH EC135P1, AIRBUS HELICOPTERS INC MBB-BK 117 C-2",N135CP N135N N145MH
FLIGHT FOR LIFE INC,private,yes,3,,,,no,WAUKESHA,WI,531886903,2661 AVIATION RD,"AIRBUS HELICOPTERS INC MBB-BK 117 C-2, EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2",N184WK N529MD N648BH
MERCY AIR HELICOPTER INC,private,yes,3,,,,no,FORT LAUDERDALE,FL,333126267,3920 SW 56TH ST,"EUROCOPTER AS 350 B2, AIRBUS HELICOPTERS INC AS350B2",N220CF N316EL N775MA
HEALTH CARE DISTRICT OF PALM BEACH COUNTY,statelocal,yes,3,,,,no,WEST PALM BEACH,FL,334061415,4255 SOUTHERN BLVD,"SIKORSKY S-76C, LEONARDO SPA AW169",N276TH N870DD N913PB
LIFEFLIGHT EAGLE,private,yes,3,,,,no,KANSAS CITY,MO,641532323,7830 NW 100TH ST,"BELL HELICOPTER TEXTRON CANADA 407, BELL 407",N301LE N302LE N505LE
GUARDIAN FLIGHT HOLDINGS INC,private,yes,3,,,,no,FAIRBANKS,AK,997014208,1412 4TH AVE,"EUROCOPTER DEUTSCHLAND GMBH EC135T1, EUROCOPTER AS 350 B2",N350DH N911AX N911ZG
HALO FLIGHT INC,private,yes,3,,,,no,CORPUS CHRISTI,TX,784156809,1843 FM 665 RD,BELL TEXTRON CANADA LTD 407,N361HF N37HF N665HF
CHARLOTTE MECKLENBURG HOSPITAL AUTHORITY,private,yes,3,,,,no,CHARLOTTE,NC,28208,5315 MORRIS FIELD DR,AIRBUS HELICOPTERS DEUTSCHLAND EC135 P3,N362AH N363AH N366AH
CAROLINAS HEALTHCARE SYSTEM DBA,private,yes,3,,,,no,CHARLOTTE,NC,282035812,1000 BLYTHE BLVD,EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+,N433CM N436CM N524WF
MIAMI VALLEY HOSPITAL,private,yes,3,,,,no,DAYTON,OH,454092722,1 WYOMING ST,"LEONARDO SPA AW169, EUROCOPTER AS365N3",N730CF N841CF N942CF
MILTON S HERSHEY MEDICAL CENTER,private,yes,3,,,,no,HERSHEY,PA,170332360,500 UNIVERSITY DR,"EUROCOPTER EC 155 B1, AIRBUS HELICOPTERS EC 155B1",N911UF N916LL N921LL
REACH AIR MEDICAL SERVICES LLC,private,yes,2,,,,no,LEWISVILLE,TX,750564952,4400 STATE HIGHWAY 121 STE 700,"AIRBUS HELICOPTERS MBB-BK117 D-3, AIRBUS HELICOPTERS INC AS350B3",N113GR N115GR
ADVENTIST HEALTH SYSTEM SUNBELT INC DBA,private,yes,2,,,,no,ALTAMONTE SPRINGS,FL,327141502,900 HOPE WAY,"EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2, AIRBUS HELICOPTERS INC MBB-BK 117 C-2",N145FH N149AH
HARTFORD HOSPITAL,private,yes,2,,,,no,HARTFORD,CT,061028000,80 SEYMOUR ST,"EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2, AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 C-2",N145HH N146HH
VARIETY CHILDRENS HOSPITAL DBA,private,yes,2,,,,no,MIAMI,FL,331553009,3100 SW 62ND AVE,AGUSTAWESTLAND PHILADELPHIA AW139,N15460 N996LF
ASPIRUS WAUSAU HOSPITAL INC DBA,private,yes,2,,,,no,WAUSAU,WI,544014102,333 PINE RIDGE BLVD,"AIRBUS HELICOPTERS DEUTSCHLAND EC135 P3, EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2",N240HY N611SJ
NORTH MEMORIAL HEALTHCARE,private,yes,2,,,,no,BROOKLYN CENTER,MN,554291712,4501 68TH AVE N,AGUSTAWESTLAND A109S,N28NM N68NM
MARY HITCHCOCK MEMORIAL HOSPITAL,private,yes,2,,,,no,LEBANON,NH,037561000,1 MEDICAL CENTER DR,"EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+, AIRBUS HELICOPTERS DEUTSCHLAND EC135 P2+",N335DH N835DH
TRISTATE CARE FLIGHT LLC,private,yes,2,,,,no,GREENWOOD VILLAGE,CO,801111914,5500 S QUEBEC ST STE 300,AGUSTA SPA A109E,N365AA N7UC
KALISPELL REGIONAL MEDICAL CENTER,private,yes,2,,,,no,KALISPELL,MT,599013576,325 CLAREMONT ST,"BELL 407, BELL HELICOPTER TEXTRON CANADA 407",N407KH N407VS
AIR EVAC EMS INC,private,yes,2,,,,no,LEWISVILLE,TX,750674151,209 STATE HIGHWAY 121 BYP,BELL HELICOPTER TEXTRON CANADA 206L-4,N434AE N437AE
REGIONAL AIR MEDICAL SERVICES INC,private,yes,2,,,,no,JASPER,AL,355018949,3925 OLD BIRMINGHAM HWY,"EUROCOPTER EC 130 B4, EUROCOPTER AS 350 B3",N440RM N464RM
GUNDERSEN LUTHERAN MEDICAL CENTER INC,private,yes,2,,,,no,LA CROSSE,WI,546015467,1900 SOUTH AVE,"AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 C-2, EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2",N618GL N906GL
PARKVIEW HOSPITAL,private,yes,2,,,,no,FORT WAYNE,IN,468451700,10501 CORPORATE DR,AEROSPATIALE AS 365 N2 DAUPHIN,N711SM N89SM
GUARDIAN FLIGHT LLC,private,yes,2,,,,no,SOUTH JORDAN,UT,840954043,10888 S 300 W,AIRBUS HELICOPTERS INC AS350B3,N886GT N889GT
AIRLIFT HELICOPTERS SERVICES,private,yes,1,,,,no,SEAL BEACH,CA,907406251,1198 PACIFIC COAST HWY STE D345,BELL UH-1H,N107CH
CHILDREN'S HOSPITAL,private,yes,1,,,,no,NEW ORLEANS,LA,701185720,200 HENRY CLAY AVE,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N145CH
DUKE UNIVERSITY HEALTH SYSTEM INC,private,yes,1,,,,no,DURHAM,NC,277100001,PO BOX 3520,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N145DU
SENTARA HEALTHCARE,private,yes,1,,,,no,NORFOLK,VA,235023819,6015 POPLAR HALL DR,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N145NG
UNIVERSITY OF CINCINNATI MEDICAL CENTER LLC,private,yes,1,,,,no,CINCINNATI,OH,452293019,3200 BURNET AVE,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N145UC
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,statelocal,yes,1,,,,no,JACKSON,MS,392164500,2500 N STATE ST,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N14UH
CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,private,yes,1,,,,no,CHARLOTTE,NC,28027,5315 MORRIS FIELD DR,EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+,N162AE
PARK VIEW HEALTH SYSTEM INC,private,yes,1,,,,no,FORT WAYNE,IN,468081167,1450 PRODUCTION RD,LEONARDO SPA AW169,N199SM
US AIRLIFT COMMAND INC,private,yes,1,,,,no,ANDERSON,SC,296261061,C/O SCOTT DUNN,BELL UH-1H,N262RC
307 AIR MEDICAL TRANSPORTATION LLC,private,yes,1,,,,no,CLOVIS,NM,881011021,5333 E 21ST ST,BELL HELICOPTER TEXTRON CANADA 407,N34TP
TRISTATE CAREFLIGHT LLC,private,yes,1,,,,no,GREENWOOD VILLAGE,CO,801111914,5500 S QUEBEC ST STE 300,AMERICAN EUROCOPTER LLC AS350B3,N354CF
REGIONAL AIR MEDICAL SERVICES INC.,private,yes,1,,,,no,JASPER,AL,355018949,3925 OLD BIRMINGHAM HWY,EUROCOPTER FRANCE AS 350 B3,N401RM
CHILDREN'S HOSPITAL & MEDICAL CENTER DBA,private,yes,1,,,,no,OMAHA,NE,681144113,8200 DODGE ST,AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 C-2,N402CN
HAITI AIR AMBULANCE SERVICE INC,private,yes,1,,,,no,MELVILLE,NY,117473845,6 CORPORATE CENTER DR,BELL 407,N407J
FLAGSTAFF MEDICAL CENTER,private,yes,1,,,,no,FLAGSTAFF,AZ,860021905,PO BOX 1905,BELL HELICOPTER TEXTRON CANADA 407,N407RF
ANTIQUE AIRLIFT LLC,private,yes,1,,,,no,MOKENA,IL,60448,11848 W 187TH ST,BELL 47G,N415DP
MARY HITCHOCK MEMORIAL HOSPITAL,private,yes,1,,,,no,LEBANON,NH,037561000,C/O DHART HANGAR,AIRBUS HELICOPTERS DEUTSCHLAND EC135 P2+,N435DH
EGLESTON CHILDRENS HOSPITAL AT EMORY UNIV INC DBA,private,yes,1,,,,no,ATLANTA,GA,303292303,1600 TULLIE CIR NE,AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 C-2,N445CH
WEST PENN ALLEGHENY HEALTH SYSTEM INC,private,yes,1,,,,no,PITTSBURGH,PA,152124756,320 E NORTH AVE,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N474LF
CHILDRENS HOSPITAL COLORADO,private,yes,1,,,,no,AURORA,CO,800457106,13123 E 16TH AVE STE B545,AIRBUS HELICOPTERS INC MBB-BK 117 C-2,N509CH
JJ AIRLIFT INC,private,yes,1,,,,no,BROOMFIELD,CO,800214199,12342 MEADOWLARK LN,SCHWEIZER 269C,N521RS
CENTER FOR EMERG MED OF W PENN STAT MEDEVAC PROG,private,yes,1,,,,no,WEST MIFFLIN,PA,151222673,10 ALLEGHENY COUNTY AIRPORT,AIRBUS HELICOPTERS DEUTSCHLAND EC135T3,N589ME
HAYNES LIFE FLIGHT LLC,private,yes,1,,,,no,WETUMPKA,AL,360921626,545 HOSPITAL DR,AGUSTAWESTLAND PHILADELPHIA CO AW119MKII,N596LF
TRANSCARE AMBULANCE SERVICES INC,private,yes,1,,,,no,MARION,IN,469521300,1800 N WABASH RD STE 200,ROBINSON HELICOPTER COMPANY R44 II,N669SC
MOTHER FRANCES HOSPITAL REGIONAL HEALTH CARE CTR,private,yes,1,,,,no,TEMPE,AZ,852880906,1033 W ROOSEVELT WAY STE 500,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N745TX
MERCY HEALTH LIFE FLIGHT NETWORK LLC,private,yes,1,,,,no,TOLEDO,OH,436082603,2213 CHERRY ST,AGUSTAWESTLAND PHILADELPHIA CO AW119MKII,N78LF
PITT COUNTY MEMORIAL HOSPITAL,private,yes,1,,,,no,GREENVILLE,NC,278342818,2100 STANTONSBURG RD,AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 C-2,N816EC
LIFEFLIGHT OF MAINE,private,yes,1,,,,no,BANGOR,ME,044016703,189 ODLIN RD HNGR 600,LEONARDO SPA AW109SP,N901WM
ENLOE HOSPITAL,private,yes,1,,,,no,CHICO,CA,959263310,1531 ESPLANADE,AIRBUS HELICOPTERS EC 130 T2,N911EH
SAN JUAN REGIONAL MEDICAL CENTER,private,yes,1,,,,no,FARMINGTON,NM,874015630,801 W MAPLE ST,BELL HELICOPTER TEXTRON CANADA 429,N911NM
HEALTH CARE DISTRICT PALM BEACH COUNTY,statelocal,yes,1,,,,no,WEST PALM BEACH,FL,334013428,1515 N FLAGLER DR,LEONARDO SPA AW169,N911PB
SAINT VINCENTS HEALTHCARE,private,yes,1,,,,no,BILLINGS,MT,591010127,1233 N 30TH ST,EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+,N911SV
TOMS AIRLIFT LLC,private,yes,1,,,,no,SAN LUIS OBISPO,CA,934014670,2608 EL CERRITO ST,ROBINSON HELICOPTER CO R66,N911TT
PITT COUNTY MEMORIAL HOSPITAL INC DBA,private,yes,1,,,,no,GREENVILLE,NC,278342818,2100 STANTONSBURG RD,EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2,N918EC
SAINT VINCENT MERCY MEDICAL CENTER,private,yes,1,,,,no,TOLEDO,OH,436082603,2213 CHERRY ST,AGUSTA SPA A109E,N91SV
ENLOE MEDICAL CENTER DBA,private,yes,1,,,,no,CHICO,CA,959263310,1531 ESPLANADE,EUROCOPTER EC 130 T2,N922RJ
NORTH SHORE UNIVERSITY HOSPITAL,private,yes,1,,,,no,MANHASSET,NY,110303816,300 COMMUNITY DR,BELL TEXTRON CANADA LTD 407,N92NH
ST VINCENT MERCY MEDICAL CENTER,private,yes,1,,,,no,TOLEDO,OH,436082603,2213 CHERRY ST,AGUSTA SPA A109E,N95RZ
BANK OF UTAH TRUSTEE,private,,183,,,,no,SALT LAKE CITY,UT,841111617,50 S 200 E STE 110,"BELL 214ST, AGUSTAWESTLAND PHILADELPHIA AW139, BELL HELICOPTER TEXTRON CANADA 407",N105GK N1073W N1078N N109JP N112SH
BROWN HELICOPTER INC,private,,181,,,,no,PENSACOLA,FL,325068223,10100 AILERON AVE,"SIKORSKY UH-60A, SIKORSKY UH-60L, SIKORSKY EH-60A",N106ZZ N1075B N1079G N108UB N109GH
TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,private,,173,,,,no,NORTH SALT LAKE,UT,840542533,39 E EAGLE RIDGE DR STE 201,"BELL HELICOPTER TEXTRON CANADA 407, AIRBUS HELICOPTERS EC 130 T2, AIRBUS HELICOPTERS INC AS350B3",N102AE N104AE N106GR N109BT N113AH
NAVAL AIR SYSTEMS COMMAND,gov,,126,,,,no,PATUXENT RIVER,MD,206701547,AIR-2.2.2.4 STE 453,AGUSTAWESTLAND PHILADELPHIA CO AW119MKII,N703SH N705SH N706SH N808ST N810ST
,private,,94,,,,no,,,,,"ROBINSON HELICOPTER COMPANY R44 II, AGUSTAWESTLAND PHILADELPHIA AW139, AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK117 D-3",N101DS N101SY N110AW N11ZP N121SX
BELL TEXTRON INC,private,,92,,,,no,FORT WORTH,TX,76118,3255 BELL FLIGHT BLVD,"BELL TEXTRON CANADA LTD 412EP, BELL TEXTRON CANADA LTD 407, BELL HELICOPTER TEXTRON CANADA 407",N102BF N10WU N133LA N139TC N144AT
EMERALD CITY AIRCRAFT LEASING INC,private,,72,,,,no,PORT ORCHARD,WA,98367,PO BOX 1674,"ROBINSON HELICOPTER R22 BETA, ROBINSON HELICOPTER COMPANY R44 II, ROBINSON HELICOPTER R44",N111AH N11364 N123MV N131NW N13GH
DEPARTMENT OF HOMELAND SECURITY,gov,,71,,,,no,WASHINGTON,DC,20229,1300 PENNSYLVANIA AVE W 6.4A,"AIRBUS HELICOPTERS INC AS350B3, SIKORSKY HH-60L, AMERICAN EUROCOPTER LLC AS350B3",N1007G N13006 N180Q N184R N192A
BRISTOW LLC,private,,59,,,,no,LAKE CHARLES,LA,706070610,600 AIRPORT BLVD,"EUROCOPTER AS 350 B2, AGUSTAWESTLAND PHILADELPHIA AW139, EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+",N108AG N108TA N109DR N119MW N127JL
PHI AVIATION LLC,private,,58,,,,no,LAFAYETTE,LA,705082156,2001 SE EVANGELINE TRWY,"BELL 407, BELL HELICOPTER TEXTRON CANADA 407, SIKORSKY S-92A",N139PH N140PH N141PH N146PH N149PH
AIRBUS HELICOPTERS INC,private,,57,,,,no,GRAND PRAIRIE,TX,750528927,2701 N FORUM DR,"AIRBUS HELICOPTERS INC MBB-BK117 D-3, AIRBUS HELICOPTERS INC AS350B3, AIRBUS HELICOPTERS H160-B",N104AH N110GR N116NS N117GR N122GR
INTERNATIONAL AIR SERVICES INC TRUSTEE,private,,55,,,,no,CARSON CITY,NV,897060838,123 W NYE LN STE 129,"AGUSTA A109N, ROBINSON HELICOPTER COMPANY R44 II, AEROSPATIALE SA341G GAZELLE",N126DC N130SM N1440L N150AG N206DD
ROBINSON HELICOPTER CO,private,,54,,,,no,TORRANCE,CA,905056115,2901 AIRPORT DR,"ROBINSON HELICOPTER CO R66, ROBINSON HELICOPTER COMPANY R44 II, ROBINSON HELICOPTER R44",N122YB N13FR N145TR N223HK N225WH
NORTHWEST HELICOPTERS LLC,private,,49,,,,no,OLYMPIA,WA,985015707,1000 85TH AVE SE,"BELL UH-1H, SIKORSKY UH-60A, BELL 204-B",N1304X N2048P N204NW N260NW N302WH
SPITZER HELICOPTER LLC,private,,47,,,,no,WOODLAND HILLS,CA,913671003,5958 ROD AVE,"ROBINSON HELICOPTER R22 BETA, ROBINSON HELICOPTER R44, ROBINSON HELICOPTER COMPANY R22",N121SE N143SH N153SH N154SH N155SH
AGUSTAWESTLAND PHILADELPHIA CORP,private,,44,,,,no,PHILADELPHIA,PA,191141128,3050 RED LION RD,"AGUSTAWESTLAND PHILADELPHIA AW139, AGUSTAWESTLAND PHILADELPHIA CO AW119MKII, AGUSTAWESTLAND PHILADELPHIA AW609",N115TG N116TG N117SH N131SH N139B
HIGGINS LEASING INC,private,,42,,,,no,THE WOODLANDS,TX,773877327,PO BOX 7327,"ROBINSON HELICOPTER CO R66, ROBINSON HELICOPTER R22 BETA",N148R N179RR N32AW N460AD N5076H
TEMSCO HELICOPTERS INC,private,,41,,,,no,KETCHIKAN,AK,99901,5411 N TONGASS HWY PO BOX 5057,"HUGHES 369D, EUROCOPTER AS 350 B2, AIRBUS HELICOPTERS INC AS350B3",N1088N N1091P N1091S N1107P N1302T
HELICOPTER EXPRESS LLC,private,,40,,,,no,CHAMBLEE,GA,303413349,2025 FLIGHTWAY DR,"SIKORSKY S-64E, BELL 407, BELL 205A-1",N101HX N103HX N12HX N14HX N154AC
INTEGRITY AIRCRAFT TITLE HOLDINGS LLC,private,,39,,,,no,PORTLAND,OR,97230,465 NE 181ST AVE STE 505,"SIKORSKY UH-60L, AIRBUS HELICOPTERS MBB-BK117 D-3, EUROCOPTER AS365N3",N107LC N109NL N120GH N125TT N137WZ
SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,private,,39,,,,no,CASPER,WY,826012873,330 S CENTER ST STE 300,"ROBINSON HELICOPTER R44, ROBINSON HELICOPTER COMPANY R44 II, BELL 206B",N120VT N125WF N135MB N150SF N153WF
MUSTANG LEASING LLC,private,,38,,,,no,HENDERSON,NV,890524207,1620 JET STREAM DR,"EUROCOPTER EC 130 B4, AIRBUS HELICOPTERS EC 130 T2, EUROCOPTER EC 130 T2",N152AE N816MH N817MH N818MH N821MH
GM LEASING CO LLC,private,,37,,,,no,BROUSSARD,LA,705188028,1318 SMEDE HWY,"BELL 407, BELL 206-L4, BELL 206L-3",N1170 N127AP N141AP N1612 N161SF
US DEPARTMENT OF HOMELAND SECURITY,gov,,37,,,,no,WASHINGTON,DC,202290002,1300 PENNSYLVANIA AVE NW RM 6.4A,"EUROCOPTER AS 350 B3, AMERICAN EUROCOPTER CORP AS350B3, EUROCOPTER AS 350 B2 ECUREUIL",N172AE N186AE N187AE N3951A N3953A
GM LEASING COMPANY LLC,private,,35,,,,no,BROUSSARD,LA,705188028,1318 SMEDE HWY,"BELL 407, BELL HELICOPTER TEXTRON CANADA 407, SIKORSKY S-76C",N10814 N125TA N140HL N1416 N153PA
CROMAN CORP,private,,34,,,,no,WHITE CITY,OR,97503,801 AVE C,"SIKORSKY S-61N, CROMAN CORP SH-3H, SIKORSKY S-61A",N1043T N1048Y N113WK N408FS N408UD
EUROTEC VERTICAL FLIGHT SOLUTIONS LLC,private,,34,,,,no,EUDORA,KS,660259565,1040 OCL PKWY,"AGUSTA SPA A109E, EUROCOPTER EC 130 B4, EUROCOPTER EC120B",N109AH N109AL N109CG N1240W N130AD
ACE AERONAUTICS LLC,private,,34,,,,no,GUNTERSVILLE,AL,359768697,105 BUCK ISLAND RD,"SIKORSKY UH-60L, SIKORSKY UH-60A, SIKORSKY EH-60A",N1141C N118TA N121GD N121MX N121UA
AIRCRAFT GUARANTY CORP TRUSTEE,private,,34,,,,no,OKLAHOMA CITY,OK,731705244,928 SW 107TH ST,"ROBINSON HELICOPTER COMPANY R44 II, BELL 206B, AEROSPATIALE SA341G GAZELLE",N137MM N144PP N159GD N18RH N208AG
USDA APHIS WS ATOC,gov,,32,,,,no,CEDAR CITY,UT,84721,1223 N AIRPORT ROAD,"BELL 206, HUGHES OH-6A, MD HELICOPTERS INC 369FF",N26JK N3124B N3132B N313EB N313FB
COLUMBIA HELICOPTERS INC,private,,31,,,,no,AURORA,OR,970029525,14452 ARNDT RD NE,"BOEING-VERTOL 107-II, BOEING CH-46E, BOEING-VERTOL 234LR",N168CH N184CH N188CH N189CH N190CH
NS AIR LEASING LLC,private,,30,,,,no,WILMINGTON,DE,19808,3422 OLD CAPITOL TRL STE 1530,"EUROCOPTER AS 350 B3, AIRBUS HELICOPTERS AS 350B3, AIRBUS HELICOPTERS EC 130 T2",N100RM N1144C N114NS N1308T N1309T
SOUTHERN UTAH UNIVERSITY,statelocal,,29,435-586-7862 (SUU Aviation),aviation@suu.edu,https://www.suu.edu/aviation/contact.html,yes,CEDAR CITY,UT,847218312,2410 AVIATION WAY,"ROBINSON HELICOPTER COMPANY R44 II, ROBINSON HELICOPTER R22 BETA, BELL 206-L4",N101SU N123SU N144BV N161SU N162SU
